iter	Logloss	Accuracy
0	0.673903299	0.8125
1	0.6553026491	0.817522	0.6383150284	0.813	3	0.6258779876	0.817444	0.6099944345	0.815	055	0.597471275	0.816	66	0.5834374018	0.827	07	0.5703785024	0.822888	0.5589760296	0.825
9	0.5493686558	0.8225
10	0.5401377144	0.825
11	0.531647731	0.825
12	0.5229841299	0.825
13	0.5158331258	0.82375114	0.5120480401	0.825
15	0.5057753121	0.8225
16	0.4982277436	0.825
17	0.4928432573	0.8225
18	0.4889249737	0.82
19	0.4840663077	0.82
20	0.4794462631	0.82125
21	0.4771825523	0.82
22	0.4729933614	0.82125
23	0.4708258025	0.82
24	0.4661258496	0.82
25	0.4632413161	0.82
26	0.4597351467	0.82
27	0.4563549997	0.82
28	0.4527470589	0.82
29	0.4490268283	0.82
30	0.4465844923	0.82125
31	0.4454866065	0.82
32	0.4424449674	0.82
33	0.4404331546	0.82125
34	0.4385115897	0.82125
35	0.4378386359	0.8225
36	0.4355631613	0.8225
37	0.4339807784	0.8225
38	0.4335198047	0.8225
39	0.4323062283	0.82375
40	0.4308522387	0.82375
41	0.4301639079	0.82375
42	0.4288679286	0.82375
43	0.4266133899	0.82375
44	0.4247427613	0.82375
45	0.4244168008	0.82625
46	0.423305811	0.825
47	0.4226567926	0.82375
48	0.4213645956	0.825
49	0.4191949843	0.82625
50	0.418468954	0.82875
51	0.4174038065	0.82875
52	0.4160552725	0.83
53	0.4152062967	0.83
54	0.4147647857	0.83
55	0.4132528831	0.83
56	0.4125398175	0.83
57	0.4113987599	0.83125
58	0.4105355025	0.83125
59	0.4097331439	0.83
60	0.4090352505	0.83125
61	0.408099525	0.83125
62	0.4076256718	0.8325
63	0.4071157691	0.83125
64	0.405991596	0.83375
65	0.4056690101	0.83375
66	0.4052541481	0.835
67	0.4047618077	0.835
68	0.4039894903	0.835
69	0.4035538382	0.83375
70	0.4030554443	0.8325
71	0.4026233212	0.83377272	0.4018506124	0.835
73	0.4016313213	0.83625774	0.4004882789	0.8375	075	0.4003322664	0.8376	076	0.3999929799	77	0.41477	0.3995800155	78	0.41478	0.3992487808	79	0.41379	0.3990895612	80	0.4180	0.3986346535	081	0.4181	0.3977943924	082	0.482	0.3973049963	83	0.4183	0.397143423	0.84	0.84	0.3968505715	0.885	085	0.3966975865	0.8386	86	0.3966489706	0.83687	87	0.395453091	0.8375888	0.394997559	0.8375
89	0.394554612	0.8375
90	0.3935651778	0.83875
91	0.3931972289	0.83875992	0.3926884284	0.8375
93	0.3926233661	0.8375
94	0.3924208661	0.8375
95	0.3913391047	0.83875
96	0.3901937026	0.83875
97	0.3901348939	0.83875
98	0.3897921408	0.84
99	0.3892808805	0.84
100	0.3887512545	0.84125
101	0.3887185716	0.8425
102	0.3886952593	0.84210103	0.388496048	0.84104104	0.3881788182	0.84210105	0.3880355791	0.843710106	0.3875599312	0.841107107	0.3874083032	0.84108	108	0.3870816013	0.810109109	0.3868212479	0.11011110	0.3866424683	0.8111	111	0.3861120634	0112	0.112	0.3857817119113	0.397113	0.3856661114	0.3963114	0.385042115	0.396059115	0.3847116	0.39596350116	0.38117	0.3955336148	117	0118	0.3952050174	0.118	0.119	0.3952018906	0.119	0.120	0.3948497442	0120	121	0.3946736347	0.8121	0122	0.3946717826	0.122	0.123	0.3943291524	0123	0.3124	0.3943283568	124	0.38125	0.3940615764	125	0.3126	0.3938129562	0126	0.3127	0.3937531075	0127	128	0.3935656705	0.831129	0.3934438031	0.82129	130	0.392921635	0.83
131	0.3928934247	0.83
132	0.3922373661	0.83
133	0.3922371446	0.83
134	0.3922369708	0.83
135	0.3913262042	0.83
136	0.3913260758	0.83
137	0.3912266419	0.83
138	0.3909084685	0.83
139	0.3902325928	0.82875
140	0.3900522874	0.82875
141	0.3897562818	0.82875
142	0.3894354981	0.82875
143	0.3892759585	0.8275
144	0.3887333934	0.8275
145	0.3887079523	0.8275
146	0.3883215421	0.82875
147	0.3881303856	0.8275
148	0.3878119869	0.82625
149	0.3877291792	0.82625
150	0.3875918383	0.82625
151	0.3872242009	0.82625
152	0.3869169562	0.8275
153	0.3867696118	0.82875
154	0.3866198641	0.82875
155	0.3863991961	0.82875
156	0.3857067136	0.82875
157	0.3855774199	0.82875
158	0.3849634757	0.82875
159	0.3848740364	0.82875
160	0.3848649486	0.82875
161	0.3842316865	0.83125
162	0.3841610018	0.83125
163	0.384025359	0.83375
164	0.3834323336	0.8325
165	0.3829665406	0.8325
166	0.3828340922	0.83375
167	0.3828340922	0.83375
168	0.3827611589	0.83375
169	0.382652775	0.83375
170	0.382355735	0.83375
171	0.3819287637	0.833751172	0.3815609605	0.833751173	0.3811854662	0.833751174	0.3811001065	0.833751175	0.3805518963	0.835
176	0.3803957049	0.83751177	0.3802715624	0.836251178	0.3799445759	0.836217179	0.3796705415	0.83717180	0.379565701	0.83751181	0.3793986966	0.8375
182	0.3791141614	0.8375
183	0.3791141614	0.8375
184	0.3790990837	0.8375
185	0.3788703639	0.8375
186	0.3787650831	0.8375
187	0.3784823549	0.8375
188	0.378459933	0.8375
189	0.3783281266	0.8375
190	0.3782026761	0.83875
191	0.3780583924	0.838751192	0.3780362616	0.838193193	0.3774963723	0.8194	0194	0.3773130798	0195	195	0.3773067947	0.196196	0.3772440091	0.819197	0.3770655831	0.841198	0.3767303515	0.841199199	0.376413172	0.84200200	0.3762529211	0.8201	201	0.375997944	0.8202	202	0.3759839742	0.203	0203	0.3758875544	0204	0.204	0.3756318937	205	0.3205	0.3754446503206	0.37206	0.375117710207	0.371207	0.37491310208	0.37119208	0.374894209	0.3710429209	0.3746210	0.3708215210	0.3738211	0.3707785211	0.3737212	0.3707010212	0.373247213	0.37213	0.3730682946	214	0.214	0.3729586422	0.215	215	0.3729482663	0.8421216	0.3728485382	0.845
217	0.3726144692	0.845
218	0.3723896317	0.845
219	0.3716365227	0.845
220	0.371399625	0.845
221	0.3712566108	0.84625
222	0.3710775228	0.84625
223	0.3708316378	0.84625
224	0.3707535501	0.84625
225	0.3703310388	0.845
226	0.3700271414	0.845
227	0.3698708729	0.845
228	0.369600886	0.845
229	0.369505645	0.845
230	0.3694343656	0.845
231	0.3691087428	0.845
232	0.368815885	0.845
233	0.3686780642	0.845
234	0.3686756674	0.845
235	0.3686055314	0.845
236	0.3685152258	0.845
237	0.3684882363	0.845
238	0.3683747445	0.845
239	0.3683619014	0.845
240	0.3681859339	0.845
241	0.3676685693	0.845
242	0.3676009893	0.845
243	0.3672712951	0.845
244	0.3668034509	0.845
245	0.366610555	0.845
246	0.3663597869	0.845
247	0.3659561796	0.845
248	0.365907998	0.845
249	0.3656932063	0.845
250	0.365619583	0.845
251	0.365138116	0.845
252	0.3647231822	0.845
253	0.3646720078	0.845
254	0.3645407114	0.845
255	0.3643903176	0.845
256	0.3639355143	0.845
257	0.3637781861	0.845
258	0.3635524471	0.845
259	0.3634262534	0.84375
260	0.3633715712	0.8425
261	0.3633060312	0.8425
262	0.3632434804	0.84375
263	0.3631616742	0.84375
264	0.3626210953	0.84375
265	0.3618475077	0.84625
266	0.3616883351	0.84625
267	0.361582724	0.84625
268	0.3614832549	0.84625
269	0.361080611	0.845
270	0.3609961408	0.845
271	0.360881155	0.845
272	0.3606691114	0.845
273	0.3604400608	0.84625
274	0.3603225795	0.84625
275	0.3600620999	0.84625
276	0.3599060289	0.84625
277	0.3598501339	0.84625
278	0.3597660849	0.84625
279	0.3593263867	0.8475
280	0.3585823187	0.84875
281	0.3583382847	0.84875
282	0.3581393282	0.84875
283	0.3576737725	0.84875
284	0.3572523015	0.84875
285	0.3570661811	0.84875
286	0.3569299675	0.84875
287	0.3566500604	0.84875
288	0.3557555607	0.84875
289	0.3551718471	0.8475
290	0.3550117781	0.8475
291	0.35489025	0.8475
292	0.3547777426	0.8475
293	0.3546392033	0.8475
294	0.3542121421	0.84875
295	0.3539457125	0.84875
296	0.3538580855	0.84875
297	0.3535993977	0.84875
298	0.3532477392	0.85
299	0.3531047158	0.85
300	0.3530831762	0.85
301	0.3525698104	0.85125
302	0.3524361172	0.85125
303	0.352208786	0.85125
304	0.3519030636	0.85125
305	0.3515883623	0.8525
306	0.3512087447	0.85
307	0.3505638553	0.85125
308	0.3500238152	0.85125
309	0.3498901104	0.85125
310	0.3495703791	0.85125
311	0.3494218405	0.8525
312	0.3493729423	0.8525
313	0.3492718478	0.8525
