iter	Passed	Remaining
0	645	644442
1	978	488055
2	1350	448883
3	1566	390142
4	1865	371190
5	2148	355888
6	2357	334480
7	2633	326591
8	2886	317842
9	3129	309821
10	3389	304723
11	3646	300256
12	3881	294673
13	4073	286878
14	4287	281533
15	4496	276517
16	4711	272428
17	4904	267588
18	5102	263456
19	5309	260158
20	5543	258431
21	5722	254404
22	5917	251348
23	6124	249047
24	6334	247046
25	6538	244948
26	6748	243193
27	6969	241952
28	7175	240259
29	7384	238772
30	7619	238173
31	7818	236500
32	8052	235968
33	8253	234489
34	8457	233184
35	8663	231977
36	8850	230345
37	9030	228605
38	9262	228228
39	9474	227377
40	9695	226781
41	9902	225881
42	10141	225698
43	10375	225435
44	10580	224543
45	10811	224220
46	11063	224329
47	11258	223292
48	11461	222440
49	11706	222416
50	11939	222175
51	12175	221966
52	12395	221478
53	12649	221600
54	12857	220921
55	13066	220263
56	13309	220184
57	13564	220312
58	13804	220166
59	14037	219915
60	14270	219676
61	14454	218683
62	14660	218047
63	14864	217397
64	15116	217444
65	15343	217139
66	15563	216727
67	15773	216188
68	15960	215355
69	16193	215142
70	16414	214781
71	16612	214115
72	16818	213572
73	17029	213105
74	17268	212973
75	17486	212593
76	17684	211978
77	17908	211682
78	18099	211013
79	18347	210990
80	18545	210416
81	18791	210372
82	18977	209662
83	19212	209504
84	19424	209096
85	19628	208612
86	19838	208188
87	20045	207743
88	20311	207904
89	20594	208237
90	20829	208070
91	21024	207499
92	21214	206902
93	21446	206705
94	21648	206226
95	21865	205900
96	22053	205301
97	22243	204733
98	22481	204606
99	22700	204307
100	22882	203675
101	23132	203652
102	23344	203299
103	23635	203629
104	23866	203435
105	24077	203068
106	24316	202940
107	24513	202461
108	24753	202340
109	24985	202154
110	25206	201876
111	25403	201411
112	25620	201110
113	25886	201187
114	26110	200937
115	26293	200374
116	26499	199993
117	26715	199690
118	26921	199309
119	27121	198890
120	27319	198462
121	27502	197926
122	27746	197836
123	27965	197565
124	28162	197135
125	28346	196624
126	28552	196267
127	28742	195811
128	28953	195489
129	29160	195152
130	29373	194850
131	29554	194343
132	29769	194060
133	29985	193783
134	30148	193170
135	30325	192658
136	30496	192106
137	30711	191837
138	30967	191818
139	31165	191445
140	31338	190918
141	31524	190478
142	31704	190004
143	31956	189961
144	32230	190047
145	32425	189664
146	32644	189424
147	32829	188992
148	32997	188461
149	33261	188482
150	33431	187967
151	33618	187556
152	33815	187201
153	33993	186741
154	34244	186685
155	34446	186366
156	34607	185821
157	34793	185420
158	34977	185007
159	35154	184558
160	35388	184418
161	35595	184128
162	35783	183744
163	35945	183234
164	36152	182951
165	36484	183303
166	36678	182953
167	36875	182622
168	37065	182255
169	37274	181985
170	37587	182222
171	37795	181946
172	37983	181572
173	38190	181295
174	38411	181083
175	38686	181121
176	38874	180756
177	39072	180434
178	39270	180116
179	39448	179711
180	39702	179647
181	39927	179453
182	40128	179153
183	40316	178795
184	40480	178332
185	40735	178272
186	40938	177982
187	41162	177787
188	41368	177511
189	41562	177186
190	41805	177069
191	41986	176691
192	42195	176435
193	42400	176157
194	42607	175891
195	42852	175783
196	43035	175417
197	43249	175183
198	43485	175035
199	43684	174738
200	43911	174552
201	44112	174267
202	44313	173981
203	44498	173630
204	44659	173192
205	44869	172942
206	45202	173166
207	45463	173109
208	45660	172811
209	45839	172443
210	46075	172292
211	46257	171938
212	46470	171700
213	46673	171427
214	46852	171066
215	47054	170790
216	47388	170993
217	47583	170689
218	47765	170341
219	48006	170204
220	48217	169961
221	48498	169963
222	48702	169693
223	48900	169404
224	49099	169119
225	49417	169242
226	49669	169139
227	49893	168938
228	50124	168760
229	50329	168493
230	50618	168508
231	50818	168226
232	51050	168050
233	51282	167872
234	51595	167958
235	51786	167649
236	51993	167388
237	52221	167197
238	52403	166859
239	52641	166697
240	52887	166561
241	53109	166350
242	53333	166147
243	53517	165816
244	53795	165777
245	54001	165516
246	54199	165231
247	54419	165012
248	54624	164752
249	55057	165172
250	55247	164862
251	55486	164697
252	55700	164460
253	56025	164548
254	56236	164299
255	56453	164066
256	56685	163881
257	56911	163674
258	57173	163573
259	57362	163261
260	57578	163029
261	57831	162899
262	58036	162634
263	58324	162600
264	58568	162443
265	58853	162399
266	59065	162153
267	59384	162200
268	59591	161937
269	59824	161746
270	60047	161531
271	60398	161655
272	60591	161355
273	60808	161119
274	61048	160945
275	61283	160757
276	61642	160893
277	61866	160675
278	62099	160478
279	62295	160187
280	62530	159997
281	62825	159960
282	63055	159754
283	63306	159604
284	63536	159399
285	63818	159322
286	64026	159062
287	64262	158871
288	64507	158701
289	64838	158741
290	65068	158534
291	65325	158392
292	65555	158184
293	65770	157938
294	66089	157942
295	66319	157732
296	66542	157506
297	66783	157321
298	67102	157319
299	67344	157136
300	67591	156964
301	67836	156788
302	68037	156508
303	68317	156411
304	68547	156198
305	68809	156058
306	69164	156126
307	69479	156104
308	69735	155946
309	69976	155754
310	70198	155520
311	70538	155546
312	70769	155331
313	70987	155086
314	71234	154907
315	71546	154865
316	71791	154679
317	72067	154560
318	72309	154366
319	72641	154362
320	72882	154165
321	73203	154137
322	73456	153962
323	73835	154052
324	74099	153898
325	74373	153765
326	74602	153539
327	74958	153574
328	75193	153358
329	75418	153121
330	75668	152936
331	76021	152958
332	76279	152787
333	76531	152605
334	76774	152403
335	77117	152398
336	77370	152216
337	77610	152006
338	77857	151810
339	78105	151617
340	78488	151683
341	78778	151568
342	79019	151357
343	79420	151453
344	79654	151229
345	79925	151072
346	80190	150906
347	80412	150657
348	80752	150629
349	80967	150367
350	81200	150139
351	81460	149960
352	81835	149992
353	82082	149788
354	82350	149623
355	82550	149332
356	82899	149311
357	83110	149041
358	83354	148830
359	83614	148648
360	83998	148684
361	84258	148499
362	84536	148346
363	84810	148185
364	85139	148119
365	85371	147884
366	85616	147671
367	85865	147464
368	86261	147508
369	86515	147309
370	86746	147071
371	87017	146900
372	87334	146806
373	87599	146623
374	87864	146440
375	88098	146205
376	88332	145970
377	88678	145920
378	88936	145723
379	89191	145523
380	89434	145301
381	89761	145215
382	89997	144983
383	90245	144768
384	90489	144547
385	90873	144550
386	91146	144374
387	91424	144205
388	91675	143993
389	92024	143935
390	92250	143684
391	92566	143572
392	92799	143330
393	93217	143375
394	93462	143151
395	93707	142927
396	93964	142722
397	94412	142804
398	94704	142649
399	94955	142433
400	95186	142186
401	95522	142095
402	95772	141876
403	96053	141702
404	96276	141443
405	96674	141439
406	96939	141240
407	97206	141045
408	97455	140822
409	97813	140756
410	98094	140578
411	98347	140359
412	98599	140140
413	98948	140057
414	99176	139803
415	99427	139581
416	99659	139332
417	100017	139258
418	100255	139018
419	100472	138748
420	100747	138557
421	100984	138315
422	101425	138350
423	101645	138083
424	101919	137891
425	102178	137676
426	102528	137584
427	102804	137392
428	103064	137178
429	103370	137025
430	103644	136829
431	103908	136619
432	104145	136374
433	104536	136331
434	104804	136125
435	105056	135899
436	105295	135655
437	105716	135645
438	105958	135404
439	106172	135128
440	106423	134899
441	106709	134715
442	107074	134628
443	107332	134407
444	107590	134185
445	107845	133959
446	108201	133860
447	108437	133609
448	108707	133402
449	108957	133170
450	109496	133289
451	109751	133061
452	110022	132852
453	110274	132621
454	110645	132531
455	110882	132280
456	111167	132086
457	111418	131853
458	111802	131776
459	112023	131505
460	112269	131265
461	112533	131045
462	112956	131010
463	113207	130774
464	113433	130509
465	113737	130334
466	114055	130174
467	114301	129932
468	114534	129675
469	114745	129393
470	115010	129173
471	115381	129070
472	115643	128846
473	115920	128637
474	116180	128409
475	116525	128275
476	116801	128065
477	117022	127794
478	117283	127567
479	117729	127539
480	118045	127370
481	118261	127093
482	118495	126836
483	118824	126680
484	119033	126396
485	119263	126134
486	119484	125863
487	119708	125595
488	120088	125491
489	120347	125260
490	120578	124998
491	120997	124932
492	121286	124731
493	121577	124531
494	121843	124305
495	122231	124203
496	122468	123947
497	122713	123699
498	122950	123443
499	123312	123312
500	123566	123072
501	123827	122840
502	124111	122631
503	124542	122565
504	124814	122342
505	125037	122072
506	125307	121846
507	125506	121553
508	125890	121438
509	126162	121214
510	126414	120971
511	126674	120736
512	127085	120644
513	127353	120416
514	127602	120169
515	127873	119943
