iter	Logloss	Accuracy
0	0.6818449786	0.8211473566
1	0.6759072	0.816647919
2	0.6673020575	0.8132733408
3	0.658837149	0.8132733408
4	0.6509958113	0.8087739033
5	0.642672179	0.8143982002
6	0.6353670847	0.8143982002
7	0.6278300085	0.8143982002
8	0.6199946313	0.8143982002
9	0.6157244799	0.8132733408
10	0.6093043544	0.8132733408
11	0.6019208268	0.8143982002
12	0.5944881695	0.8143982002
13	0.5880221325	0.8143982002
14	0.5837336504	0.8155230596
15	0.5777183145	0.8155230596
16	0.5724197639	0.8155230596
17	0.5670410283	0.8132733408
18	0.5619491524	0.8143982002
19	0.5575732495	0.8143982002
20	0.55337042	0.8143982002
21	0.5496094745	0.8143982002
22	0.5447681933	0.8143982002
23	0.5398395205	0.8132733408
24	0.5374627193	0.8143982002
25	0.5323946389	0.8143982002
26	0.5283429226	0.8132733408
27	0.5262992025	0.8143982002
28	0.5241094269	0.8143982002
29	0.5212464926	0.8143982002
30	0.5189035598	0.8155230596
31	0.5155128151	0.8155230596
32	0.5122546006	0.8155230596
33	0.5096055538	0.8155230596
34	0.5061926971	0.8155230596
35	0.5035187605	0.8155230596
36	0.5020896971	0.8155230596
37	0.4997257386	0.8155230596
38	0.4969935214	0.8155230596
39	0.4935213195	0.8155230596
40	0.4900270392	0.8155230596
41	0.4868839506	0.8155230596
42	0.4839754471	0.8155230596
43	0.4828993756	0.816647919
44	0.4798203946	0.816647919
45	0.4792589127	0.816647919
46	0.4782200261	0.816647919
47	0.4759302296	0.816647919
48	0.474107343	0.816647919
49	0.4727182192	0.8177727784
50	0.4707581224	0.8177727784
51	0.4689359252	0.816647919
52	0.4675853692	0.8177727784
53	0.4668374482	0.8177727784
54	0.4665647866	0.8177727784
55	0.4641763432	0.8177727784
56	0.4617434407	0.8177727784
57	0.4593732652	0.8188976378
58	0.4577188446	0.8188976378
59	0.4562157331	0.8188976378
60	0.4548028584	0.8188976378
61	0.4535162373	0.8188976378
62	0.4516840891	0.8188976378
63	0.4508685115	0.8188976378
64	0.4501859921	0.8188976378
65	0.449693266	0.8188976378
66	0.4491288835	0.8188976378
67	0.4481014867	0.8188976378
68	0.4470997975	0.8188976378
69	0.4467066649	0.8188976378
70	0.4453508649	0.8188976378
71	0.4432526723	0.8200224972
72	0.4422699931	0.8200224972
73	0.4412758637	0.8200224972
74	0.4407073046	0.8200224972
75	0.4397759625	0.8188976378
76	0.4389990776	0.8200224972
77	0.4379176062	0.8188976378
