iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	206	232	206	340	206	232	340
1	229	283	229	340	229	283	340
2	226	279	226	340	226	279	340
3	226	279	226	340	226	279	340
4	229	292	229	340	229	292	340
5	226	280	226	340	226	280	340
6	226	280	226	340	226	280	340
7	226	280	226	340	226	280	340
8	226	279	226	340	226	279	340
9	226	280	226	340	226	280	340
10	226	280	226	340	226	280	340
11	226	280	226	340	226	280	340
12	226	279	226	340	226	279	340
13	226	279	226	340	226	279	340
14	226	279	226	340	226	279	340
15	226	279	226	340	226	279	340
16	226	278	226	340	226	278	340
17	225	278	225	340	225	278	340
18	226	279	226	340	226	279	340
19	226	279	226	340	226	279	340
20	226	279	226	340	226	279	340
21	226	279	226	340	226	279	340
22	226	279	226	340	226	279	340
23	225	278	225	340	225	278	340
24	226	279	226	340	226	279	340
25	226	279	226	340	226	279	340
26	225	278	225	340	225	278	340
27	226	279	226	340	226	279	340
28	226	279	226	340	226	279	340
29	226	279	226	340	226	279	340
30	228	281	228	340	228	281	340
31	228	281	228	340	228	281	340
32	228	281	228	340	228	281	340
33	228	282	228	340	228	282	340
34	228	281	228	340	228	281	340
35	228	281	228	340	228	281	340
36	228	281	228	340	228	281	340
37	228	281	228	340	228	281	340
38	228	281	228	340	228	281	340
39	228	281	228	340	228	281	340
40	228	281	228	340	228	281	340
41	228	281	228	340	228	281	340
42	228	282	228	340	228	282	340
43	228	282	228	340	228	282	340
44	228	282	228	340	228	282	340
45	228	282	228	340	228	282	340
46	228	282	228	340	228	282	340
47	228	282	228	340	228	282	340
48	228	282	228	340	228	282	340
49	228	282	228	340	228	282	340
50	228	282	228	340	228	282	340
51	228	282	228	340	228	282	340
52	228	282	228	340	228	282	340
53	228	283	228	340	228	283	340
54	228	283	228	340	228	283	340
55	228	282	228	340	228	282	340
56	228	282	228	340	228	282	340
57	228	282	228	340	228	282	340
58	228	282	228	340	228	282	340
59	228	282	228	340	228	282	340
60	228	282	228	340	228	282	340
61	228	282	228	340	228	282	340
62	228	282	228	340	228	282	340
63	228	282	228	340	228	282	340
64	228	282	228	340	228	282	340
65	228	282	228	340	228	282	340
66	228	282	228	340	228	282	340
67	228	282	228	340	228	282	340
68	229	283	229	340	229	283	340
69	229	283	229	340	229	283	340
70	229	283	229	340	229	283	340
71	229	283	229	340	229	283	340
72	229	283	229	340	229	283	340
73	229	283	229	340	229	283	340
74	229	283	229	340	229	283	340
75	229	283	229	340	229	283	340
