iter	Passed	Remaining
0	49	49014
1	67	33566
2	88	29435
3	104	26118
4	114	22728
5	127	21137
6	141	20079
7	173	21565
8	190	21001
9	192	19013
10	193	17421
11	205	16925
12	212	16164
13	229	16191
14	236	15553
15	245	15078
16	247	14310
17	268	14624
18	280	14502
19	282	13842
20	283	13235
21	290	12912
22	293	12464
23	310	12631
24	312	12190
25	328	12319
26	340	12281
27	342	11883
28	343	11514
29	349	11314
30	362	11344
31	374	11335
32	386	11336
33	398	11315
34	407	11240
35	414	11093
36	415	10821
37	422	10697
38	429	10589
39	454	10903
40	467	10941
41	483	11024
42	575	12810
43	588	12787
44	622	13210
45	630	13066
46	654	13270
47	671	13308
48	689	13386
49	696	13230
50	706	13141
51	719	13116
52	727	12993
53	728	12764
54	734	12624
55	754	12715
56	764	12652
57	774	12586
58	800	12762
59	808	12664
60	823	12674
61	836	12648
62	844	12560
63	847	12391
64	849	12215
65	850	12040
66	861	12001
67	882	12095
68	890	12015
69	893	11871
70	896	11726
71	907	11699
72	926	11764
73	938	11746
74	947	11683
75	956	11629
76	971	11644
77	979	11573
78	991	11555
79	1004	11547
80	1011	11474
81	1024	11463
82	1036	11448
83	1048	11436
84	1076	11590
85	1079	11473
86	1092	11465
87	1093	11337
88	1101	11275
89	1113	11263
90	1132	11310
91	1141	11269
92	1144	11162
93	1151	11096
94	1152	10979
95	1153	10866
96	1161	10808
97	1167	10746
98	1179	10738
99	1197	10780
100	1210	10772
101	1223	10772
102	1241	10815
103	1255	10818
104	1259	10731
105	1260	10630
106	1263	10541
107	1265	10454
108	1267	10360
109	1269	10274
110	1285	10296
111	1301	10322
112	1314	10314
113	1325	10303
114	1328	10223
115	1334	10167
116	1341	10121
117	1343	10045
118	1350	9997
119	1356	9948
120	1367	9931
121	1369	9858
122	1371	9779
123	1373	9700
124	1378	9649
125	1384	9604
126	1385	9526
127	1388	9458
128	1395	9422
129	1406	9415
130	1409	9350
131	1417	9318
132	1423	9277
133	1434	9268
134	1441	9237
135	1444	9174
136	1446	9113
137	1456	9097
138	1463	9064
139	1473	9054
140	1484	9044
141	1489	8998
142	1492	8943
143	1494	8886
144	1507	8889
145	1520	8892
146	1523	8837
147	1524	8776
148	1525	8712
149	1532	8685
150	1540	8659
151	1541	8597
152	1543	8547
153	1550	8517
154	1553	8469
155	1561	8447
156	1564	8401
157	1567	8354
158	1580	8361
159	1583	8313
160	1584	8259
161	1587	8212
162	1594	8188
163	1601	8162
164	1608	8139
165	1616	8119
166	1628	8123
167	1636	8102
168	1638	8055
169	1650	8056
170	1656	8032
171	1679	8086
172	1695	8106
173	1725	8191
174	1752	8262
175	1764	8258
176	1767	8220
177	1775	8199
178	1782	8173
179	1807	8234
180	1818	8229
181	1821	8184
182	1823	8139
183	1837	8149
184	1840	8107
185	1841	8058
186	1858	8079
187	1861	8038
188	1873	8039
189	1881	8020
190	1893	8022
191	1902	8005
192	1910	7987
193	1913	7949
194	1915	7908
